module_type,exam_part,question_text,difficulty,explanation,option_1,option_2,option_3,option_4,correct_option
mock_exam,part_a,"A patient requires 75mg of medication. The medication is supplied as 25mg in 5ml. How many ml should be administered?",medium,"First find mg per ml: 25mg ÷ 5ml = 5mg/ml. Then calculate volume needed: 75mg ÷ 5mg/ml = 15ml",5ml,10ml,15ml,20ml,3
mock_exam,part_a,"Convert 0.25g to milligrams",easy,"1 gram = 1000 milligrams, so 0.25g = 0.25 × 1000 = 250mg",25mg,250mg,2500mg,25000mg,2
mock_exam,part_a,"A patient's weight is 65kg. Calculate the dose of medication if the prescription is 2mg/kg",easy,"Multiply body weight by dose per kg: 65kg × 2mg/kg = 130mg",65mg,130mg,260mg,325mg,2
mock_exam,part_a,"An IV infusion of 500ml is to run over 4 hours. What is the infusion rate in ml/hour?",easy,"Divide total volume by time: 500ml ÷ 4 hours = 125 ml/hour",100 ml/hour,125 ml/hour,150 ml/hour,200 ml/hour,2
mock_exam,part_a,"Calculate the percentage: A patient received 750ml of their prescribed 1000ml fluid intake. What percentage did they receive?",medium,"(Amount received ÷ Total prescribed) × 100 = (750 ÷ 1000) × 100 = 75%",65%,70%,75%,80%,3
mock_exam,part_b,"Which of the following is the primary role of the mitral valve?",medium,"The mitral valve (bicuspid valve) prevents backflow of blood from the left ventricle to the left atrium during ventricular contraction",Prevent backflow from right ventricle to right atrium,Prevent backflow from left ventricle to left atrium,Allow blood flow from lungs to heart,Allow blood flow from heart to aorta,2
mock_exam,part_b,"A patient with COPD is most likely to have which blood gas abnormality?",hard,"COPD patients typically retain CO2 due to impaired gas exchange, leading to respiratory acidosis with elevated PCO2 and decreased PO2. Compensation may show elevated bicarbonate.",Respiratory alkalosis,Metabolic acidosis,Respiratory acidosis,Metabolic alkalosis,3
mock_exam,part_b,"What is the first-line treatment for anaphylaxis?",easy,"Intramuscular adrenaline (epinephrine) is the first-line treatment for anaphylaxis and should be administered immediately to any patient showing signs of anaphylactic reaction",Oral antihistamine,IM adrenaline,IV steroids,Oxygen therapy,2
mock_exam,part_b,"Which medication class is contraindicated in pregnancy?",hard,"ACE inhibitors are contraindicated in pregnancy as they can cause fetal renal damage, oligohydramnios, and developmental abnormalities, particularly in the second and third trimesters",Paracetamol,Insulin,ACE inhibitors,Folic acid,3
mock_exam,part_b,"A patient with a Glasgow Coma Scale (GCS) score of 8 or less requires:",medium,"A GCS of 8 or less indicates severe impairment of consciousness and inability to protect the airway. These patients require immediate airway management, typically endotracheal intubation",Oxygen via nasal cannula,Close observation only,Airway protection/intubation,Fluid restriction,3
